
****************************** FastFind 2.2 (c)FastFrench 2013 ********
		Started  Thu Jul 16 17:44:16 2015

             1.374mS|ChangeMode(231) => m_bDebugGraphique=1, m_DebugModeTxt=  E3
             16.808S|FFGetPixel(x:1367, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            73.569µS|FFGetPixel(x:1368, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            59.882µS|FFGetPixel(x:1369, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            58.741µS|FFGetPixel(x:1370, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            58.171µS|FFGetPixel(x:1371, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            58.171µS|FFGetPixel(x:1372, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            64.444µS|FFGetPixel(x:1373, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            58.741µS|FFGetPixel(x:1374, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            58.741µS|FFGetPixel(x:1375, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            58.741µS|FFGetPixel(x:1376, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            58.171µS|FFGetPixel(x:1377, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            58.171µS|FFGetPixel(x:1378, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            58.741µS|FFGetPixel(x:1379, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            58.171µS|FFGetPixel(x:1380, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            58.171µS|FFGetPixel(x:1381, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            58.171µS|FFGetPixel(x:1382, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            58.171µS|FFGetPixel(x:1383, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            58.171µS|FFGetPixel(x:1384, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            58.171µS|FFGetPixel(x:1385, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            58.171µS|FFGetPixel(x:1386, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            58.171µS|FFGetPixel(x:1387, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            58.741µS|FFGetPixel(x:1388, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            58.171µS|FFGetPixel(x:1389, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            64.444µS|FFGetPixel(x:1390, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
